parameter_id,name,tier,identifiability,recommended_estimation_path,current_source_status,real_data_needed
D01,base_need_per_1000,Tier 1 — core load-bearing,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",placeholder prior,"Monthly encounters, unmet need, population denominators"
D02,urgent_need_share,Tier 2 — extended policy lever,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",placeholder prior,"Booking urgency, after-hours encounters, ED substitutable care"
D03,routine_need_share,Tier 3 — exploratory/risk/implementation,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",derived prior,Appointment type and reason-for-visit coding
D04,chronic_need_index,Tier 2 — extended policy lever,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",source-informed prior,"Multimorbidity counts, LTC registers, medication/diagnosis proxies"
D05,rurality_demand_modifier,Tier 2 — extended policy lever,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",source-informed prior,"Rurality classification, travel time, provider proximity"
D06,deprivation_demand_modifier,Tier 2 — extended policy lever,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",source-informed prior,"NZDep, unmet need, ED and admission outcomes"
D07,multimorbidity_demand_modifier,Tier 2 — extended policy lever,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",source-informed prior,"Condition counts, polypharmacy, hospital risk"
D08,price_elasticity_general,Tier 1 — core load-bearing,Estimable with variation; may require quasi-experiment,"Use observed fee variation, policy changes, concession status or natural experiments; stratify by deprivation, ethnicity, rurality and multimorbidity.",placeholder prior,"Practice fees, CSC/VLCA status, utilisation changes"
D09,price_elasticity_high_need,Tier 1 — core load-bearing,Estimable with variation; may require quasi-experiment,"Use observed fee variation, policy changes, concession status or natural experiments; stratify by deprivation, ethnicity, rurality and multimorbidity.",placeholder prior,Fees and utilisation by ethnicity/deprivation/rurality/morbidity
D10,telehealth_acceptability,Tier 3 — exploratory/risk/implementation,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",placeholder prior,"Mode of consultation, outcome, re-presentation"
D11,unmet_need_persistence,Tier 1 — core load-bearing,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",placeholder prior,"Delayed care, repeat attempts, ED conversion"
D12,delay_complexity_growth,Tier 1 — core load-bearing,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,placeholder prior,Waiting time to ED/admission/acuity
S01,gp_capacity_index,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"GP FTE, sessions, appointment slots"
S02,nurse_np_capacity_index,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,NP/nurse FTE and scope of activity
S03,pharmacist_capacity_index,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Pharmacy locations, FTE, prescribing services"
S04,allied_health_capacity_index,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Physio, psychology, counselling, other FTE/activity"
S05,paramedic_alt_capacity_index,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Paramedic workforce, alternative pathway activity"
S06,medical_productivity_per_fte,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Appointments per FTE, session templates"
S07,np_nurse_productivity_per_fte,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"NP/nurse consultations, protocol care"
S08,scope_substitution_rate,Tier 1 — core load-bearing,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Contact type, provider type, safety outcomes"
S09,workforce_exit_rate,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Closures, reduced sessions, retirement/exit"
S10,market_entry_response,Tier 1 — core load-bearing,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"New practices, new PHOs, direct claim onboarding"
S11,local_inperson_constraint,Tier 1 — core load-bearing,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,source-informed prior,"Rural session availability, travel time, closures"
S12,rural_loading_response,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,Rural payment changes and sessions/appointments
F01,capitation_base_strength,Tier 2 — extended policy lever,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",public architecture prior,Capitation amounts and enrolments
F02,capitation_weighting_adequacy,Tier 2 — extended policy lever,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",source-informed prior,Current/proposed rate tables and practice impacts
F03,scheduled_medical_benefit_strength,Tier 1 — core load-bearing,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",policy option prior,"Item schedule, contact categories and public contribution"
F04,scheduled_benefit_price_adequacy,Tier 2 — extended policy lever,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",policy option prior,"Consult costs, provider time, overhead, co-payment"
F05,activity_signal_strength,Tier 1 — core load-bearing,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",source-informed prior,Marginal payment by contact type
F06,patient_copayment_level,Tier 2 — extended policy lever,Estimable with variation; may require quasi-experiment,"Use observed fee variation, policy changes, concession status or natural experiments; stratify by deprivation, ethnicity, rurality and multimorbidity.",source-informed prior,Practice fee schedules and patient payment data
F07,copayment_protection_strength,Tier 1 — core load-bearing,Estimable with variation; may require quasi-experiment,"Use observed fee variation, policy changes, concession status or natural experiments; stratify by deprivation, ethnicity, rurality and multimorbidity.",source-informed prior,"Eligibility, fees, utilisation by group"
F08,acc_activity_strength,Tier 1 — core load-bearing,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",hypothesis prior,ACC claims/payments by provider/practice
F09,acc_constraint_intensity,Tier 3 — exploratory/risk/implementation,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",hypothesis prior,"Pricing changes, contract changes, claim acceptance"
F10,pho_transaction_cost,Tier 1 — core load-bearing,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",source-informed hypothesis,"PHO financials, pass-through, onboarding delay"
F11,direct_claiming_strength,Tier 2 — extended policy lever,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",policy option prior,"Claims infrastructure, processing cost, provider uptake"
F12,place_based_accountability_strength,Tier 1 — core load-bearing,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",source-informed policy prior,"Locality responsibility, outreach, hard-to-reach service targets"
F13,budget_tightness,Tier 2 — extended policy lever,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,source-informed prior,Vote/baseline movements and budget decisions
F14,global_cap_constraint,Tier 1 — core load-bearing,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",policy hypothesis prior,"Funding envelope, claims cap rules, waiting/rationing outcomes"
F15,item_rules_strength,Tier 2 — extended policy lever,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,policy option prior,Item schedule rules and audit results
G01,safety_governance,Tier 2 — extended policy lever,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,source-informed prior,Credentialing/audit/adverse events
G02,gaming_controls,Tier 1 — core load-bearing,Detectable through anomaly analysis and audit; not directly observable ex ante,"Use claims pattern analysis, re-presentation, unusually high contact rates, audit findings and stakeholder challenge.",placeholder prior,"Claims patterns, outliers, re-presentations"
G03,audit_intensity,Tier 2 — extended policy lever,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,placeholder prior,"Audit rates, recovery, quality flags"
G04,data_observability_primary,Tier 1 — core load-bearing,Stakeholder-elicited / MCDA-informed,"Survey, workshop MCDA, document review and qualitative coding; do not treat as an administrative-data coefficient.",source-informed prior,NPCD completeness/timeliness
G05,data_observability_ambulance,Tier 2 — extended policy lever,Stakeholder-elicited / MCDA-informed,"Survey, workshop MCDA, document review and qualitative coding; do not treat as an administrative-data coefficient.",source-informed prior,Ambulance event/disposition data
G06,data_observability_hospital,Tier 2 — extended policy lever,Stakeholder-elicited / MCDA-informed,"Survey, workshop MCDA, document review and qualitative coding; do not treat as an administrative-data coefficient.",source-informed prior,ED/NMDS/NHI linkage
G07,primary_kpi_salience,Tier 2 — extended policy lever,Stakeholder-elicited / MCDA-informed,"Survey, workshop MCDA, document review and qualitative coding; do not treat as an administrative-data coefficient.",source-informed prior,"Target reporting, consequences, balancing measures"
G08,ambulance_kpi_salience,Tier 2 — extended policy lever,Stakeholder-elicited / MCDA-informed,"Survey, workshop MCDA, document review and qualitative coding; do not treat as an administrative-data coefficient.",source-informed prior,KPIs and governance escalation
G09,hospital_salience,Tier 3 — exploratory/risk/implementation,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,strategic hypothesis,Media/budget/escalation patterns
G10,equity_program_strength,Tier 2 — extended policy lever,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,placeholder prior,"Programme funding, uptake, outcomes"
G11,te_tiriti_governance_strength,Tier 2 — extended policy lever,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,placeholder prior,"Governance terms, data sovereignty processes"
G12,consumer_trust,Tier 3 — exploratory/risk/implementation,Stakeholder-elicited / MCDA-informed,"Survey, workshop MCDA, document review and qualitative coding; do not treat as an administrative-data coefficient.",placeholder prior,"Patient experience, trust, uptake"
G13,stakeholder_alignment,Tier 3 — exploratory/risk/implementation,Stakeholder-elicited / MCDA-informed,"Survey, workshop MCDA, document review and qualitative coding; do not treat as an administrative-data coefficient.",placeholder prior,"Workshop scores, submissions, interviews"
G14,narrative_coherence,Tier 3 — exploratory/risk/implementation,Stakeholder-elicited / MCDA-informed,"Survey, workshop MCDA, document review and qualitative coding; do not treat as an administrative-data coefficient.",author judgement prior,"Stakeholder response, public feedback"
H01,baseline_hospital_pressure,Tier 2 — extended policy lever,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,source-informed prior,ED/admission/bed/deficit data
H02,ed_conversion_rate,Tier 1 — core load-bearing,Estimable from linked administrative data,"Estimate using linked primary care, ambulance, ED, inpatient and cost datasets; validate temporally and geographically.",placeholder prior,Unmet care/waiting time to ED
H03,admission_conversion_rate,Tier 2 — extended policy lever,Estimable from linked administrative data,"Estimate using linked primary care, ambulance, ED, inpatient and cost datasets; validate temporally and geographically.",placeholder prior,"ED disposition, admissions, diagnosis"
H04,ambulance_conveyance_default,Tier 2 — extended policy lever,Estimable from linked administrative data,"Estimate using linked primary care, ambulance, ED, inpatient and cost datasets; validate temporally and geographically.",placeholder prior,"Conveyance, treat-and-refer, destination"
H05,ambulance_deflection_rate,Tier 1 — core load-bearing,Estimable from linked administrative data,"Estimate using linked primary care, ambulance, ED, inpatient and cost datasets; validate temporally and geographically.",placeholder prior,"Non-conveyance safety, re-presentation"
H06,urgent_care_effectiveness,Tier 2 — extended policy lever,Estimable from linked administrative data,"Estimate using linked primary care, ambulance, ED, inpatient and cost datasets; validate temporally and geographically.",source-informed prior,"Urgent visits, ED substitution, fees, outcomes"
H07,telehealth_substitution_rate,Tier 2 — extended policy lever,Estimable from linked administrative data,"Estimate using linked primary care, ambulance, ED, inpatient and cost datasets; validate temporally and geographically.",placeholder prior,"Telehealth visits, follow-up, re-presentation"
H08,hospital_cost_per_event_index,Tier 3 — exploratory/risk/implementation,Estimable from linked administrative data,"Estimate using linked primary care, ambulance, ED, inpatient and cost datasets; validate temporally and geographically.",placeholder prior,ED/inpatient cost weights
H09,primary_contact_cost_index,Tier 3 — exploratory/risk/implementation,Estimable from linked administrative data,"Estimate using linked primary care, ambulance, ED, inpatient and cost datasets; validate temporally and geographically.",placeholder prior,Service cost and schedule price
H10,ambulance_event_cost_index,Tier 3 — exploratory/risk/implementation,Estimable from linked administrative data,"Estimate using linked primary care, ambulance, ED, inpatient and cost datasets; validate temporally and geographically.",placeholder prior,Call/response/conveyance pathway cost
R01,cherry_picking_risk,Tier 1 — core load-bearing,Detectable through anomaly analysis and audit; not directly observable ex ante,"Use claims pattern analysis, re-presentation, unusually high contact rates, audit findings and stakeholder challenge.",stakeholder-informed hypothesis,"Patient mix, complexity, outreach, non-attenders"
R02,low_value_activity_risk,Tier 3 — exploratory/risk/implementation,Detectable through anomaly analysis and audit; not directly observable ex ante,"Use claims pattern analysis, re-presentation, unusually high contact rates, audit findings and stakeholder challenge.",theory prior,"Claims outliers, coding, outcomes"
R03,fiscal_leakage_risk,Tier 1 — core load-bearing,Detectable through anomaly analysis and audit; not directly observable ex ante,"Use claims pattern analysis, re-presentation, unusually high contact rates, audit findings and stakeholder challenge.",theory prior,"Public spend, outcomes, claim patterns"
R04,provider_moral_hazard_risk,Tier 3 — exploratory/risk/implementation,Detectable through anomaly analysis and audit; not directly observable ex ante,"Use claims pattern analysis, re-presentation, unusually high contact rates, audit findings and stakeholder challenge.",theory prior,Billing patterns and audit outcomes
R05,cream_skimming_penalty,Tier 3 — exploratory/risk/implementation,Detectable through anomaly analysis and audit; not directly observable ex ante,"Use claims pattern analysis, re-presentation, unusually high contact rates, audit findings and stakeholder challenge.",policy hypothesis,"Patient mix, enrolment/open books, complexity"
R06,political_contestation,Tier 3 — exploratory/risk/implementation,Stakeholder-elicited / MCDA-informed,"Survey, workshop MCDA, document review and qualitative coding; do not treat as an administrative-data coefficient.",author judgement prior,"Stakeholder responses, media framing"
R07,implementation_complexity,Tier 3 — exploratory/risk/implementation,Stakeholder-elicited / MCDA-informed,"Survey, workshop MCDA, document review and qualitative coding; do not treat as an administrative-data coefficient.",policy judgement prior,"Implementation plan, cost, timeline"
