id,doc,status,type,url,key,implication
SRC001,Capitation reweighting public page,Sourced and read from public page,Public policy page,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,"Capitation was introduced in 2002; is core funding for general practice; current formula based on late-1990s use; new formula considers age, sex, multimorbidity, rurality and deprivation; expected from 1 July 2026 subject to PHO Services Agreement negotiation.",Supports background; also shows current reform is allocation-oriented and still capitation-centred.
SRC002,Cabinet paper: Primary Health Care Funding Improvements,Sourced and read from public release/search-rendered PDF text,Cabinet paper,https://www.health.govt.nz/system/files/2025-07/Cabinet%20paper%20-%20Primary%20Health%20Care%20Funding%20Improvements%20Redacted.pdf,"States NZ already has a blended model of capitation, co-payments and targeted streams; capitation totalled $915.7m in 2024/25; structure is complicated; poor visibility of what funding buys; reweighting based on >2m patients across 18 PHOs.",Requires package to acknowledge the Government’s own description of a blended model and poor funding visibility.
SRC003,Briefing H2025066443: Reweighting capitation funding in primary care,Sourced and read from public release/search-rendered PDF text,Ministerial briefing,https://www.health.govt.nz/system/files/2025-09/Briefing-decision-Reweighting-capitation-funding-primary-care-H2025066443.pdf,"The Ministry recommended Cabinet agreement for adding variables; says technical specification of formula is operational for Health NZ; proposed variables include expanded age bands, deprivation, geography, multimorbidity and ethnicity, with some content redacted.",Supports the view that formula details remain partly operational/opaque and policy-visible variables are only part of the issue.
SRC004,Briefing H2025068320: Capitation reweighting – further advice,Sourced and read from public release/search-rendered PDF text,Ministerial briefing,https://www.health.govt.nz/system/files/2025-09/Briefing-Capitation-reweighting-further-advice-H2025068320.pdf,Reweighting based on updated workforce and utilisation data from over 2m patients across 18 PHOs; uses available data and assumptions to estimate costs; multivariate regression estimates impact of characteristics as predictors of primary care costs.,Strengthens technical background and supports ‘formula debates are assumption-heavy’ framing while avoiding overstatement.
SRC005,Briefing H2024057558: Sapere report and re-weighting primary care capitation funding,Sourced and read from public release/search-rendered PDF text,Ministerial briefing/Sapere anchor,https://www.health.govt.nz/system/files/2025-10/Briefing-Sapere-report-and-re-weighting-primary-care-capitation-funding-H2024057558.pdf,Confirms reweighting work is a technical analysis to improve the formula and does not consider fundamental changes to the overall primary care funding model.,Central citation for why broader architecture remains in scope.
SRC006,Cabinet material: Transforming primary care – first steps / next steps / delivering timely care,Sourced and read from public release page and snippets,Cabinet material bundle,https://www.health.govt.nz/information-releases/cabinet-material-transforming-primary-care-first-steps,"Public release includes Primary Care Tactical Action Plan, first steps, next steps, digital-first enrolment, after-hours care, strategic narrative, workforce appendix, Sapere briefing, letter to PHOs and related minutes.",Current reform comparator must be broader than capitation reweighting alone.
SRC007,Briefing H2025061978: Developing a health target for primary care,Sourced and read from public release/search-rendered PDF text,Ministerial briefing,https://www.health.govt.nz/system/files/2025-09/10-04-2025-Briefing-Developing-a-health-target-for-primary-care-H2025061978.pdf,Advises on new target; first primary care access target; focuses on general practice; accountability linked to capitation; scope/measure choices include redactions; target intended to increase accountability and assurance of investment.,Supports KPI salience game and highlights target is narrower than whole primary/urgent/ambulance access.
SRC008,Primary care health target public page,Sourced and read,Public policy page,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/primary-care-health-target,Proposed target: more than 80% of people can access an appointment with a general practice provider within one week; effective from 1 July 2026.,Used for target background and KPI discussion.
SRC009,National Primary Care Dataset public page and guide,Sourced and read,Health NZ data programme,https://www.healthnz.govt.nz/about-us/what-we-do/planning-and-performance/primary-care-tactical-action-plan/national-primary-care-dataset-and-new-primary-care-health-target,"Dataset will collect general practice encounter and appointment information; includes booked date, seen date, outcome; data flows from April 2026; used for target reporting from July 2026; public reporting by end-2026.",Supports data observability game and model validation roadmap.
SRC010,National Primary Care Dataset key sector themes and detailed scenarios,Sourced and read from public release/search-rendered PDF text,Health NZ dataset feedback document,https://www.healthnz.govt.nz/assets/About-us/Planning-and-performance/Primary-care-action-plan/NPCD-key-sector-themes-and-detailed-scenarios-v3.pdf,"Flags unintended consequences of access target, including booking behaviour, planned care, follow-up, chronic care, rural patients, elderly patients and transport/family-support needs.",Adds balancing measures and gaming risk to KPI game.
SRC011,Primary Care Tactical Action Plan,Sourced and read,Health NZ programme page,https://www.healthnz.govt.nz/about-us/what-we-do/planning-and-performance/primary-care-tactical-action-plan,Describes >$640m primary/community investment; 80% access target; national dataset; performance-based funding; capitation formula update; online 24/7 GP care; fewer closed books; slower ED growth; workforce aims.,"Current reform comparator must include target, data, digital care, workforce and funding increases."
SRC012,Vote Health Estimates 2025/26,Sourced and read,Treasury appropriation document,https://www.treasury.govt.nz/publications/estimates/vote-health-health-sector-estimates-appropriations-2025-26,"Separate appropriations exist for Delivering Hospital and Specialist Services and Delivering Primary, Community, Public and Population Health Services.","Corrects earlier residual-budget framing: formal separation exists; the game is about salience, transfers, baselines and operational pressure, not an unrestricted single pot."
SRC013,Supplementary Estimates 2024/25 Vote Health,Sourced and read,Treasury appropriation document,https://www.treasury.govt.nz/publications/supplementary-estimates/vote-health-supplementary-estimates-appropriations-2024-25,Shows 2024/25 supplementary appropriations and confirms separate primary/community/public/population and hospital/specialist scopes.,Supports corrected budget architecture discussion.
SRC014,DPMC/Treasury release on allocation/commissioning budgets,Sourced and read from search-rendered PDF text,Reform budgeting advice,https://www.dpmc.govt.nz/sites/default/files/2022-08/htu-dpmc-2021-2022-1220-allocation-comissioning-budgets.pdf,"Cabinet agreed in principle to condensed Vote Health appropriations, including separate primary/community/public/population, hospital/specialist and hauora Māori appropriations.",Further corrects budget framing and supports discussion of why separate appropriations were designed.
SRC015,OECD programme budgeting in New Zealand health,Sourced and read,International policy analysis,https://www.oecd.org/en/publications/fiscal-sustainability-of-health-systems_880f3195-en/full-report/component-9.html,"OECD describes NZ’s new programme structure as designed to rebalance away from hospital dominance and toward primary/community/public health, while acknowledging separate programmes can hinder integration.",Adds nuance: the reform design already recognised the hospital dominance game.
SRC016,Health and Disability System Review final report / Section C,Sourced and read,Major system review,https://www.health.govt.nz/publications/health-and-disability-system-review-final-report,"Recommends Tier 1 funding ringfencing in medium term, locality approach, no requirement to contract through national PHO Services Agreement, and multiple contracting options for general practice.",Supports place-based accountability and PHO function/intermediation distinction.
SRC017,Commissioning for Pae Ora Healthy Futures 2022,Sourced and read,Commissioning framework,https://www.health.govt.nz/publications/commissioning-for-pae-ora-healthy-futures-2022,"Framework grounded in Te Tiriti o Waitangi and whānau-centred commissioning; supports commissioning as relational, place-aware and equity-focused.",Place-based accountability and Te Tiriti legitimacy must be explicit guardrails.
SRC018,PHO finances: a summary of available information H2025069314,Sourced and read,Ministerial briefing,https://www.health.govt.nz/system/files/2025-11/H2025069314-Briefing-PHO-finances-a-summary-of-available-information.pdf,Ministry lacks direct access to PHO financial activity and ownership structures; PHOs vary widely and do not follow uniform accounting; monitoring/regulation constrained; work follows previous PHO roles/functions/options advice H2025067082.,"PHO critique should focus on transparency, pass-through and accountability rather than blanket abolition."
SRC019,Aide-mémoire H2025070512: Meeting with General Practice New Zealand,Sourced and read,Ministerial aide-mémoire,https://www.health.govt.nz/system/files/2025-11/H2025070512-Aide-Memoire-Meeting-with-General-Practice-New-Zealand-on-31-July-2025.pdf,GPNZ represents 25 of 30 PHOs covering ~4.4m people; Ministry provided advice on PHO challenges and future remit/function H2025067082; Minister emphasised accountability via outcome framework and performance measures over function changes.,Adds PHO accountability game and OIA target.
SRC020,May 2025 advice list showing H2025067082 and H2025067086 withheld,Sourced and read,Advice-to-Minister list,https://www.health.govt.nz/system/files/2025-08/BriefingsmemosandaidesmemoiretoHonSimeonBrownMinisterofHealth1-31May2025_0.pdf,"Lists H2025067082 and H2025067086 as sent 30 May 2025, title withheld under s9(2)(f)(iv).","Transparency/OIA section should say existence is public, content is not."
SRC021,Primary care enrolment districts H2025070691,Sourced and read from public release/search-rendered PDF text,Aide-mémoire,https://www.health.govt.nz/system/files/2025-12/05-08-2025-AideMemoire-Primary-Care-enrolment-districts-H2025070691.pdf,"Enrolment enables capitation and accountability; enrolment is the only way to access capitation-subsidised care; providers may restrict or close enrolments; practices weigh extra capitation against quality of care, staff availability and wellbeing.",Very directly supports capitation marginal-supply/closed-books mechanism.
SRC022,Health NZ PHOs by region,Sourced and read,Health NZ sector page,https://www.healthnz.govt.nz/health-professionals/guidance-standards/topic/primary-care/primary-health-organisations-by-region,Health NZ contracts PHOs to provide primary health services; PHOs manage contracts to general practices; most people are enrolled with a general practice and PHO; page lists PHOs by region.,Supports description of PHO role and current architecture.
SRC023,Tend PHO approval announcement,Sourced and read,Provider announcement,https://www.tend.nz/blog/tend-welcomes-pho-approval-but-calls-time-on-outdated-system,"Tend approved as its own PHO; claims direct contracting with Te Whatu Ora; ~80,000 enrolled patients initially; calls current system outdated and supports direct contracting.",Shows market-entry/corporate PHO dynamics and direct-contracting narrative.
SRC024,RNZ: GenPro breakaway PHO approval and corporate PHOs,Sourced and read,News report,https://www.rnz.co.nz/news/national/582570/health-nz-green-lights-general-practice-owners-association-breakaway-pho,"Health NZ conditionally approved GenPro/thePHO; RNZ notes approvals for Green Cross in November and Tend in May; GenPro EOI from >800,000 patients; GPNZ says GPs already get 100% of per-person funding.",Adds market-entry and pass-through nuance; requires careful use as news not official data.
SRC025,GenPro final approval for thePHO,Sourced and read,Provider association announcement,https://genpro.org.nz/resources/genpro-welcomes-final-approval-of-new-primary-health-organisation,GenPro says Te Whatu Ora final approval confirms thePHO; frames model as reducing bureaucracy and directing funding to frontline care; thePHO operationally independent from GenPro.,Supports contested PHO intermediation narrative but with stakeholder-interest caveat.
SRC026,Urgent and after-hours healthcare programme,Sourced and read,Health NZ programme page,https://www.healthnz.govt.nz/about-us/what-we-do/programmes-and-initiatives/urgent-and-after-hours-healthcare-programme,Aims for 98% of New Zealanders to access urgent care within one hour’s drive; workforce package; full range of health professionals; framework developed by Health NZ and ACC; rollout over two years.,Urgent care must be treated as a core upstream access game.
SRC027,Beehive urgent and after-hours healthcare announcement,Sourced and read,Ministerial release,https://www.beehive.govt.nz/release/new-and-improved-urgent-and-after-hours-healthcare,Budget 2025 invests $164m over four years; 98% in-person urgent care within one hour; new 24h urgent care services and rural/remote improvements.,"Current reform comparator includes urgent care, not just GP capitation."
SRC028,New and improved urgent and after-hours healthcare factsheet / overview,Sourced and read from public release/search-rendered PDF text,Factsheet/overview,https://www.beehive.govt.nz/sites/default/files/2025-05/Factsheet%20-%20New%20and%20Improved%20Urgent%20and%20After-Hours%20Healthcare.pdf,"Up to 80 new/improved after-hours and urgent services; rural communities to benefit from 24/7 on-call clinicians, diagnostics and urgent medicines.",Supports urgent care as hospital-deflection infrastructure; adds scope/workforce and rural place dimensions.
SRC029,ACC provider payments: Paying you for your services,Sourced and read,ACC provider guidance,https://www.acc.co.nz/for-providers/invoicing-us/paying-patient-treatment,"ACC pays under Cost of Treatment Regulations, contracts or purchase orders; payment requires clinical suitability, quality, right time/place, necessary treatment, qualified provider, documentation and pre-approval where required; general practitioners, nurses and nurse practitioners receive consultation and procedure contributions.",Core analogy for uncapped but rule-controlled FFS stream.
SRC030,ACC health sector engagement / commissioning changes,Sourced and read,ACC provider engagement page,https://www.acc.co.nz/for-providers/provider-news-and-events/health-sector-engagement,"ACC says it is moving toward a collaborative co-commissioning model, with providers, suppliers, clinical leadership, outcome data and transparency.",Updates ACC section from funder-only to commissioner orientation.
SRC031,MBIE review of ACC Cost of Treatment Regulations,Sourced and read,Regulatory review,https://www.mbie.govt.nz/business-and-employment/employment-and-skills/employment-legislation-reviews/increasing-regulated-acc-payments-for-treatment,"Biennial review objectives include affordability for claimants, ACC cost sustainability/consistency and avoiding payment differences across health and ACC systems.",Supports co-payment/equity and fiscal governance framing.
SRC032,MBIE options for ACC payment increases,Sourced and read,Regulatory review detail,https://www.mbie.govt.nz/business-and-employment/employment-and-skills/employment-legislation-reviews/increasing-regulated-acc-payments-for-treatment/proposed-updates-to-acc-regulated-payments-for-treatment/options-for-payment-increases-and-how-they-were-assessed,Cost of Treatment Regulations cap ACC’s amount per treatment; claimants may pay co-payments; rising provider costs can increase co-payments and affect access.,Helps explain ‘uncapped activity but capped item prices’ and copayment risks.
SRC033,ACC Working Together handbook,Sourced and read from public release/search-rendered PDF text,Provider handbook,https://www.acc.co.nz/assets/provider/acc7909-working-together-cotr-providers.pdf,Explains ACC expectations for Cost of Treatment Regulation providers; ACC pays specified contributions for listed treatment providers within scope of practice.,Supports rule-controlled FFS and scope-based provider eligibility.
SRC034,Public Health Acute Services Annual Service Agreement briefing H2025065722,Sourced and read from public release/search-rendered PDF text,Joint briefing,https://www.health.govt.nz/system/files/2025-09/Joint-Briefing-for-decision-Request-for-approval-of-the-2025-26-Public-Health-Acute-Services-Annual-Service-Agreement-H2025065722.pdf,ACC payment to Crown for 2025/26 PHAS is $1.053754b; methodology applies Health NZ costs with a two-year data lag and cost-pressure uplift.,Supports ACC/Health NZ cross-funder interaction and hospital/acute cost linkage.
SRC035,PBFF media analysis NZMJ,Sourced and read,Peer-reviewed NZMJ article,https://nzmj.org.nz/journal/vol-131-no-1480/a-media-content-analysis-of-new-zealands-district-health-board-population-based-funding-formula,"Analysed 487 newspaper articles; PBFF significant and subject to little independent oversight/public scrutiny; formula attracted discontent and transparency concerns, especially South Island coverage.",Adds formula-fixation caution and transparency precedent.
SRC036,PBFF 2015 Technical Report,Sourced and read,Ministry technical report,https://www.health.govt.nz/publications/population-based-funding-formula-review-2015-technical-report,"PBFF equitably distributes bulk of DHB funding; incorporates population, age, socioeconomic status, ethnicity, sex, and adjustors; review recommended no structural changes but changes to rural adjuster.",Adds analogy: formula reweighting can improve allocation but not necessarily fix architecture or behaviour.
SRC037,New Zealand Health Survey 2023/24,Sourced and read,Official survey,https://www.health.govt.nz/publications/annual-update-of-key-results-202324-new-zealand-health-survey,One in four adults reported appointment wait too long; one in six adults reported cost barrier to GP; GP visits down over five years while ED visits up for adults and children.,Supports access constraint and hospital-flow hypothesis.
SRC038,New Zealand Health Survey 2024/25,Sourced and read for availability; not used heavily,Official survey,https://www.health.govt.nz/publications/annual-update-of-key-results-202425-new-zealand-health-survey,Updated survey exists with data collected July 2024-July 2025; some 2023/24 corrections were identified and integrated into the Annual Data Explorer.,Future updates should use 2024/25 explorer for final numeric claims where relevant.
SRC039,Closed books survey NZMJ 2024,Sourced and read,Peer-reviewed NZMJ article,https://nzmj.org.nz/journal/vol-137-no-1591/closed-books-restrictions-to-primary-healthcare-access-in-aotearoa-new-zealand-reporting-results-from-a-survey-across-general-pr,2022 survey of 227 practices: only 28% freely enrolled new people; 79% had closed or limited enrolments since 2019; equity/access concerns.,Supports market-entry/access constraint and capitation supply game.
SRC040,Area-based closed books description,Sourced and read,Peer-reviewed abstract/PubMed,https://pubmed.ncbi.nlm.nih.gov/37390036/,347 general practices (33%) had closed books in June 2022; geography varied materially.,Supports spatial/place-based access analysis.
SRC041,RACMA Board-agreed P&A priority foci,Not sourced: internal/private document referred to in email,Internal RACMA material,,Gillian indicated Danielle would send RACMA policy and advocacy priorities; not present in supplied trail and not publicly sourced.,RACMA pathway must be framed conditional on fit with priorities; cannot claim alignment until document reviewed.
SRC042,Cabinet decision shifting hospital appropriation funding to primary care for enhanced capitation,Not publicly verified; email intelligence only,Potential Cabinet/Budget/appropriation decision,,Debbie stated Cabinet shifted significant money from hospital service appropriation to primary care to cover additional enhanced capitation; I have not located a public decision matching this exact claim.,"Mention only as unverified stakeholder intelligence/OIA target, not fact."
SRC043,Urgent-care advice said nationwide face-to-face availability was not evidence-based,Not publicly verified; email intelligence only,Potential internal advice,,Debbie indicated current government stance was not advice provided based on evidence; public material shows urgent-care policy but not contrary evidence advice.,"Use as OIA target/sensitivity issue, not factual assertion."
SRC044,Full PHO roles/functions/options advice H2025067082,Existence sourced; content withheld/not read,Withheld ministerial advice,https://www.health.govt.nz/system/files/2025-08/BriefingsmemosandaidesmemoiretoHonSimeonBrownMinisterofHealth1-31May2025_0.pdf,Existence confirmed through H2025069314/H2025070512 and May advice list; title/content withheld under s9(2)(f)(iv).,Transparency/OIA target; avoid claiming contents.
SRC045,Document labelled ‘Official’ in Dylan anecdote,Not sourced in this work; user anecdote only,Unknown document,,Email anecdote about MoH/HNZ denying existence of a document labelled Official; not in material available to me.,"Can be used, if at all, as personal anecdote in voice; not part of evidence base."
